"lon","lat","bathy"
180,65,-23
180.08356545961,65,-23
180.16713091922,65,-27
180.25069637883,65,-31
180.33426183844,65,-35
180.41782729805,65,-51
180.50139275766,65,-87
180.58495821727,65,-92
180.66852367688,65,-90
180.75208913649,65,-84
180.8356545961,65,-73
180.91922005571,65,-73
181.00278551532,65,-71
181.08635097493,65,-67
181.16991643454,65,-60
181.25348189415,65,-59
181.33704735376,65,-57
181.42061281337,65,-62
181.504178272981,65,-56
181.587743732591,65,-50
181.671309192201,65,-51
181.754874651811,65,-57
181.838440111421,65,-61
181.922005571031,65,-64
182.005571030641,65,-63
182.089136490251,65,-54
182.172701949861,65,-47
182.256267409471,65,-46
182.339832869081,65,-45
182.423398328691,65,-45
182.506963788301,65,-45
182.590529247911,65,-45
182.674094707521,65,-45
182.757660167131,65,-46
182.841225626741,65,-49
182.924791086351,65,-56
183.008356545961,65,-67
183.091922005571,65,-63
183.175487465181,65,-51
183.259052924791,65,-48
183.342618384401,65,-51
183.426183844011,65,-52
183.509749303621,65,-48
183.593314763231,65,-46
183.676880222841,65,-44
183.760445682451,65,-42
183.844011142061,65,-37
183.927576601671,65,-34
184.011142061281,65,-29
184.094707520891,65,-17
184.178272980501,65,258
184.261838440111,65,321
184.345403899721,65,355
184.428969359331,65,313
184.512534818942,65,342
184.596100278552,65,254
184.679665738162,65,263
184.763231197772,65,279
184.846796657382,65,376
184.930362116992,65,294
185.013927576602,65,202
185.097493036212,65,227
185.181058495822,65,79
185.264623955432,65,205
185.348189415042,65,214
185.431754874652,65,369
185.515320334262,65,284
185.598885793872,65,188
185.682451253482,65,174
185.766016713092,65,171
185.849582172702,65,175
185.933147632312,65,257
186.016713091922,65,200
186.100278551532,65,235
186.183844011142,65,386
186.267409470752,65,338
186.350974930362,65,290
186.434540389972,65,403
186.518105849582,65,428
186.601671309192,65,570
186.685236768802,65,571
186.768802228412,65,455
186.852367688022,65,487
186.935933147632,65,374
187.019498607242,65,350
187.103064066852,65,242
187.186629526462,65,156
187.270194986072,65,81
187.353760445682,65,89
187.437325905292,65,141
187.520891364902,65,142
187.604456824513,65,82
187.688022284123,65,63
187.771587743733,65,-3
187.855153203343,65,-40
187.938718662953,65,-43
188.022284122563,65,-44
188.105849582173,65,-45
188.189415041783,65,-42
188.272980501393,65,-43
188.356545961003,65,-42
188.440111420613,65,-39
188.523676880223,65,-38
188.607242339833,65,-38
188.690807799443,65,-37
188.774373259053,65,-37
188.857938718663,65,-38
188.941504178273,65,-38
189.025069637883,65,-39
189.108635097493,65,-39
