"lon","lat","bathy"
165,65.029213483,722
165.08418079096,65.029213483,686
165.168361581921,65.029213483,676
165.252542372881,65.029213483,744
165.336723163842,65.029213483,815
165.420903954802,65.029213483,790
165.505084745763,65.029213483,755
165.589265536723,65.029213483,711
165.673446327684,65.029213483,637
165.757627118644,65.029213483,603
165.841807909605,65.029213483,560
165.925988700565,65.029213483,583
166.010169491525,65.029213483,759
166.094350282486,65.029213483,594
166.178531073446,65.029213483,626
166.262711864407,65.029213483,677
166.346892655367,65.029213483,628
166.431073446328,65.029213483,544
166.515254237288,65.029213483,537
166.599435028249,65.029213483,833
166.683615819209,65.029213483,916
166.767796610169,65.029213483,452
166.85197740113,65.029213483,370
166.93615819209,65.029213483,353
167.020338983051,65.029213483,389
167.104519774011,65.029213483,457
167.188700564972,65.029213483,563
167.272881355932,65.029213483,493
167.357062146893,65.029213483,452
167.441242937853,65.029213483,559
167.525423728814,65.029213483,526
167.609604519774,65.029213483,447
167.693785310734,65.029213483,535
167.777966101695,65.029213483,546
167.862146892655,65.029213483,421
167.946327683616,65.029213483,392
168.030508474576,65.029213483,582
168.114689265537,65.029213483,637
168.198870056497,65.029213483,532
168.283050847458,65.029213483,423
168.367231638418,65.029213483,373
168.451412429379,65.029213483,200
168.535593220339,65.029213483,132
168.619774011299,65.029213483,225
168.70395480226,65.029213483,467
168.78813559322,65.029213483,524
168.872316384181,65.029213483,582
168.956497175141,65.029213483,620
169.040677966102,65.029213483,525
169.124858757062,65.029213483,374
169.209039548023,65.029213483,493
169.293220338983,65.029213483,659
169.377401129944,65.029213483,455
169.461581920904,65.029213483,295
169.545762711864,65.029213483,311
169.629943502825,65.029213483,261
169.714124293785,65.029213483,232
169.798305084746,65.029213483,137
169.882485875706,65.029213483,98
169.966666666667,65.029213483,79
170.050847457627,65.029213483,43
170.135028248588,65.029213483,35
170.219209039548,65.029213483,25
170.303389830508,65.029213483,21
170.387570621469,65.029213483,12
170.471751412429,65.029213483,8
170.55593220339,65.029213483,5
170.64011299435,65.029213483,5
170.724293785311,65.029213483,4
170.808474576271,65.029213483,3
170.892655367232,65.029213483,4
170.976836158192,65.029213483,4
171.061016949153,65.029213483,11
171.145197740113,65.029213483,11
171.229378531073,65.029213483,11
171.313559322034,65.029213483,8
171.397740112994,65.029213483,8
171.481920903955,65.029213483,8
171.566101694915,65.029213483,9
171.650282485876,65.029213483,11
171.734463276836,65.029213483,17
171.818644067797,65.029213483,25
171.902824858757,65.029213483,16
